qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	MarmosetClass	OldWorldClass
NP_001254681.2|HLA_class_II_histocompatibility_antigen,_DRB1-13_beta_chain-like_precursor_[Callithrix_jacchus]	3123	89.02	255	28	0	1	255	1	255	1.77e-166	454.0	class II	class II
NP_001254681.2|HLA_class_II_histocompatibility_antigen,_DRB1-13_beta_chain-like_precursor_[Callithrix_jacchus]	3123	89.02	255	28	0	1	255	1	255	1.77e-166	454.0	class II	class II
NP_001254681.2|HLA_class_II_histocompatibility_antigen,_DRB1-13_beta_chain-like_precursor_[Callithrix_jacchus]	3123	88.235	255	30	0	1	255	1	255	2.06e-164	449.0	class II	class II
NP_001254681.2|HLA_class_II_histocompatibility_antigen,_DRB1-13_beta_chain-like_precursor_[Callithrix_jacchus]	100428228	87.451	255	32	0	1	255	17	271	1.95e-163	447.0	class II	class II
NP_001254681.2|HLA_class_II_histocompatibility_antigen,_DRB1-13_beta_chain-like_precursor_[Callithrix_jacchus]	3123	84.328	268	29	1	1	255	1	268	2.7900000000000003e-161	442.0	class II	class II
NP_001254681.2|HLA_class_II_histocompatibility_antigen,_DRB1-13_beta_chain-like_precursor_[Callithrix_jacchus]	3123	86.275	255	35	0	1	255	1	255	1.4800000000000002e-160	439.0	class II	class II
NP_001254681.2|HLA_class_II_histocompatibility_antigen,_DRB1-13_beta_chain-like_precursor_[Callithrix_jacchus]	692100	86.275	255	35	0	1	255	1	255	3.52e-158	433.0	class II	class II
NP_001254681.2|HLA_class_II_histocompatibility_antigen,_DRB1-13_beta_chain-like_precursor_[Callithrix_jacchus]	692100	86.275	255	35	0	1	255	1	255	3.52e-158	433.0	class II	class II
NP_001254681.2|HLA_class_II_histocompatibility_antigen,_DRB1-13_beta_chain-like_precursor_[Callithrix_jacchus]	100428228	85.098	255	38	0	1	255	1	255	5.05e-157	431.0	class II	class II
NP_001254681.2|HLA_class_II_histocompatibility_antigen,_DRB1-13_beta_chain-like_precursor_[Callithrix_jacchus]	100428435	84.706	255	39	0	1	255	1	255	1.63e-156	429.0	class II	class II
NP_001257840.1|HLA_class_II_histocompatibility_antigen,_DR_alpha_chain_precursor_[Callithrix_jacchus]	103221704	92.52	254	19	0	1	254	1	254	1.19e-179	487.0	class II	class II
NP_001257840.1|HLA_class_II_histocompatibility_antigen,_DR_alpha_chain_precursor_[Callithrix_jacchus]	103221684	55.645	248	109	1	1	247	1	248	5.21e-102	290.0	class II	class II
NP_001257840.1|HLA_class_II_histocompatibility_antigen,_DR_alpha_chain_precursor_[Callithrix_jacchus]	3117	54.902	255	114	1	1	254	1	255	1.56e-97	279.0	class II	class II
NP_001257840.1|HLA_class_II_histocompatibility_antigen,_DR_alpha_chain_precursor_[Callithrix_jacchus]	3117	54.902	255	114	1	1	254	1	255	2.9999999999999997e-97	278.0	class II	class II
NP_001257840.1|HLA_class_II_histocompatibility_antigen,_DR_alpha_chain_precursor_[Callithrix_jacchus]	3117	56.904	239	102	1	17	254	17	255	5.01e-97	278.0	class II	class II
NP_001257840.1|HLA_class_II_histocompatibility_antigen,_DR_alpha_chain_precursor_[Callithrix_jacchus]	720582	57.025	242	97	2	17	254	17	255	5.35e-97	278.0	class II	class II
NP_001257840.1|HLA_class_II_histocompatibility_antigen,_DR_alpha_chain_precursor_[Callithrix_jacchus]	720582	57.025	242	97	2	17	254	17	255	5.35e-97	278.0	class II	class II
